PLAYER,YEAR,POS,HEIGHT,HEIGHT_W_SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL,MAX_VERTICAL,BENCH_PRESS,BODY_FAT,HAND L,HAND W
Isaiah Thomas,2011,PG,68.75,70.25,91.5,186,73.75,5,,3.14,31.5,40,13,6.70%,8.25,9
Isaiah Whitehead,2016,COMBO G,75.25,76.5,100,210,80.75,5.5,3.21,3.34,27.5,35.5,,9.30%,8.5,8.75
Israel Sheinfeld,2002,BIG,80.25,,106.5,239,81.75,1.5,,,,,8,,,
Ivan Koljevic,2004,PG,73,74,95,172,74.5,1.5,,3.28,26,28.5,4,6.70%,,
Ivan McFarlin,2005,BIG,77.5,78.75,105.5,228.6,81,3.5,,3.27,26.5,32,10,,,
Ivan Rabb,2017,BIG,80.75,82,109,219.6,85.5,4.75,3.23,3.35,28.5,32.5,,6.80%,8.75,9
Ivan Radenovic,2007,BIG,81,82.75,106,226,83.75,2.75,,3.6,23,28,7,9.80%,,
J.P. Batista,2006,BIG,79.5,80.5,103.5,265,82,2.5,,3.38,26,30.5,26,12.00%,,
J.P. Tokoto,2015,WING,77.25,78.25,100.5,195.8,82,4.75,3.2,3.27,34.5,40,12,4.10%,8,8.75
J.R. Bremer,2002,COMBO G,73.25,,96,188,74.25,1,,3.1,30,35.5,24,,,
J.R. Giddens,2008,WING,76,76.75,103,208,83.25,7.25,,,,,10,5.40%,,
J.R. Smith,2004,WING,77.5,78.75,104,227,82,4.5,,3.21,29,35.5,5,6.70%,,
J'Covan Brown,2012,PG,73,74.25,96,202.4,77.25,4.25,,3.47,26,29.5,3,12.50%,7.75,8.25
Jabari Brown,2014,WING,75,76.25,100,201.9,80.25,5.25,3.26,3.5,28,32,,6.10%,9,9.25
Jabari Smith,2000,BIG,81.75,,109.5,240.5,86.5,4.75,,3.43,24.5,30,15,,,
Jack McClinton,2009,COMBO G,71.75,72.75,96,185.2,74.5,2.75,,3.21,30,36.5,13,6.20%,,
Jackie Butler,2004,BIG,80,81.5,109,263,85.5,5.5,,3.4,23,25,14,16.30%,,
Jackie Carmichael,2013,BIG,79.5,81,107,241.2,85.5,6,3.07,3.35,30,32,13,5.80%,9,10.25
Jackson Vroman,2004,BIG,81.25,82.75,105.5,226,84,2.75,,3.25,29.5,33.5,12,6.70%,,
Jacob Evans,2018,WING,76.25,77.5,102.5,199.6,81.25,5,3.13,3.2,28,35.5,,6.50%,9,9.25
Jacob Jaacks,2000,BIG,81.25,,105.5,238,83,1.75,,3.58,26,32,3,,,
Jae Crowder,2012,WING,76.75,78.5,99.5,241.2,81.25,4.5,,3.37,31,34.5,20,9.00%,9.5,10.5
Jahii Carson,2014,PG,69.75,71,93,179.6,74,4.25,3.24,3.24,33.5,43.5,,6.50%,7.5,8.75
Jaime Lloreda,2004,BIG,78.75,80.5,107,247,81.5,2.75,,3.23,25.5,29.5,6,9.90%,,
JaJuan Johnson,2011,BIG,81,82,107.5,219.8,86,5,,3.14,33.5,38,15,7.50%,9,10
Jake Layman,2016,WING,80,81.25,102,208.6,81.25,1.25,2.82,3.24,33,39.5,,7.10%,8.25,9.25
Jakob Poeltl,2016,BIG,84.25,85,111.5,239,86.75,2.5,,,,,,5.80%,9.25,10.25
Jalen Brunson,2018,PG,73,74.25,96,198.4,76,3,3.1,3.15,29,37,,6.70%,8.25,9.25
Jalen Hoard,2019,WING,79.25,81,105.5,212.6,84.75,5.5,3.32,3.34,27.5,35.5,8,6.70%,8.75,9.75
Jalen Lecque,2019,PG,74.5,76.25,98.5,185.2,80.5,6,3.3,3.29,35,43,1,4.00%,8.75,8.5
Jalen McDaniels,2019,COMBO F,80.25,81.75,105.5,191.6,84.25,4,3.23,3.32,29.5,33.5,0,5.70%,9,10
Jamaal Franklin,2013,WING,76,77.25,103.5,190.8,83.25,7.25,,,,,,8.30%,8.5,8.25
Jamaal Tatum,2007,PG,71.5,72.75,93.5,168,74.5,3,,3.22,28.5,33,7,5.00%,,
Jamaal Tinsley,2001,PG,72.75,,97.5,199,79.5,6.75,,3.2,28,37.5,1,13.60%,,
Jamal Crawford,2000,COMBO G,76.5,,102.5,175,82,5.5,,,,,0,,,
Jamar Butler,2008,PG,72.25,73.5,97,182,76.75,4.5,,,,,15,6.00%,,
Jamario Moon,2001,WING,78.5,,103,185,83.5,5,,3.08,33,43,0,5.30%,,
Jameel Watkins,2000,BIG,81.5,,110,244.5,90,8.5,,3.45,28,30.5,11,,,
Jameer Nelson,2004,PG,71,72.5,95,199,74.5,3.5,,3.14,28.5,33.5,15,8.00%,,
Jamel Artis,2017,WING,77.5,78.75,105,213.2,82,4.5,3.08,3.44,23.5,31,,11.90%,9.25,9.75
James Anderson,2010,WING,76.75,77.75,104,207.6,80.5,3.75,,3.19,30,35.5,14,7.90%,8.5,7.25
James Augustine,2006,BIG,80.25,81.75,104,227,84.25,4,,3.25,30,32.5,13,5.50%,,
James Ennis,2013,WING,77.75,79,104.5,200.8,83.5,5.75,3.06,3.4,29.5,36.5,7,4.50%,8.5,8.75
James Fredette,2011,PG,72.75,74.5,96.5,196,76.5,3.75,,3.21,28,33,14,7.70%,8,8.5
James Gist,2008,BIG,79,80.5,107.5,220,88,9,,3.14,30.5,35,5,4.80%,,
James Harden,2009,WING,76,77.25,103.5,222,82.75,6.75,,3.13,31.5,37,17,10.10%,,
James Hughes,2007,BIG,81,82.75,111,209,87,6,,3.37,31,33,8,3.50%,,
James Johnson,2009,COMBO F,79,79.75,105.5,257.2,84.75,5.75,,3.23,30.5,35,18,12.00%,,
James Jones,2003,WING,79.25,,107.5,218,86.5,7.25,,3.19,30.5,33,9,6.70%,,
James Lang,2003,BIG,80.25,,110,316,90.25,10,,3.55,24.5,32,8,21.40%,,
James Mays,2008,BIG,78.75,79.75,105,227,85.75,7,,3.19,29.5,35,13,8.80%,,
James McAdoo,2014,BIG,79.5,80.75,106.5,227.6,86.25,6.75,2.91,3.28,29.5,34,,6.20%,9.25,9
James Moore,2004,COMBO F,78.5,80,107,198,84.5,6,,3.21,28.5,32.5,,8.00%,,
James Southerland,2013,COMBO F,79,80,106,220.6,85,6,3.03,3.38,29,32,5,8.10%,8,9.5
James Young,2014,WING,77.25,78.75,104,213.3,84,6.75,,,28,35.5,,5.10%,9,9.5
Jamie Skeen,2011,BIG,78.5,80,106.5,241.6,85.25,6.75,,3.46,26,30.5,10,9.80%,8.5,8.5
Jamison Brewer,2001,PG,74.5,,102.5,178,80.75,6.25,,3.15,26,32.5,12,6.70%,,
JaMychal Green,2012,BIG,80,81,106.5,217.4,86.25,6.25,,3.38,29.5,32.5,19,9.80%,9.25,9.25
Jannero Pargo,2002,PG,72.25,,96,168,74.5,2.25,,3.2,25.5,29.5,5,,,
Jaquay Walls,2000,PG,73.25,,96.5,165.5,74.5,1.25,,3.23,28.5,35.5,0,,,
Jared Cunningham,2012,COMBO G,75.5,77,98,187.6,78.5,3,,,,,4,3.60%,8.25,9
Jared Dudley,2007,WING,77,79.25,102,219,79,2,,3.45,28,32,14,7.10%,,
Jared Harper,2019,PG,69.75,71,95,169.2,77.5,7.75,3.02,3.04,33.5,40.5,8,3.90%,8.25,9.5
Jared Homan,2005,BIG,79.75,80.75,104.5,248.2,85.25,5.5,,,,,16,,,
Jared Jeffries,2002,BIG,82,,109,230,84.5,2.5,,3.4,26,30,9,,,
Jared Jordan,2007,PG,72,73.75,94,183,72,0,,3.39,24.5,28.5,6,7.00%,,
Jared Reiner,2004,BIG,82,83.75,109,246,84.5,2.5,,3.56,22,26,15,12.90%,,
Jared Sullinger,2012,BIG,79.75,81,105.5,268.2,85.25,5.5,,3.81,29.5,31,9,10.70%,9.25,9.75
Jarell Martin,2015,BIG,80,81.25,106.5,238.6,81,1,2.97,3.27,28.5,35,19,10.10%,8.25,9.5
Jaren Jackson,2018,BIG,81.75,83.25,110,236,89.25,7.5,,,,,,7.20%,10,10
Jarnell Stokes,2014,BIG,79,80.5,103.5,262.8,85.25,6.25,3.2,3.26,31,36,,8.20%,9.75,10.5
Jaron Blossomgame,2017,WING,78.25,79.25,102,213.6,82,3.75,3.26,3.2,35,41,,5.30%,8.5,10
Jarrett Allen,2017,BIG,81,82.25,109.5,233.6,89.25,8.25,3,3.21,31.5,35.5,,7.40%,9.5,10.5
Jarrett Culver,2019,COMBO G,77.25,78.75,100.5,194.2,81.5,4.25,,,,,,5.00%,8.25,8.5
Jarrett Jack,2005,PG,74.5,75.5,100,197.6,79.5,5,,3.24,26,28.5,5,,,
Jarrett Stephens,2000,BIG,77.25,,103,258,81.25,4,,3.46,27,29,13,,,
Jarrod Uthoff,2016,BIG,80.5,81.75,104,214.4,83.5,3,3.03,3.5,29,34.5,,6.00%,8.75,9
Jarron Collins,2001,BIG,81.25,,104,252,87,5.75,,3.6,23,29,10,15.20%,,
Jarvis Varnado,2010,BIG,80.25,82,109.5,210.2,87.5,7.25,,3.37,29.5,32.5,3,9.50%,9.25,9.5
Jason Collins,2001,BIG,82.25,,110,251,88.5,6.25,,3.54,25.5,28.5,8,12.90%,,
Jason Gardner,2003,PG,69.75,,92.5,188,73.25,3.5,,2.92,34.5,40,9,8.00%,,
Jason Hart,2000,PG,73.75,,97.5,181,78,4.25,,3.34,29.5,33.5,9,,,
Jason Jennings,2002,BIG,83.25,,111,249,91,7.75,,3.62,29,32,8,,,
Jason Kapono,2003,WING,78.5,,102,215,78.5,0,,3.38,23.5,30,8,11.70%,,
Jason Keep,2003,BIG,81.75,,106.5,270,84.5,2.75,,3.3,29.5,34,27,8.60%,,
Jason Klotz,2005,BIG,80.5,81.75,107.5,249.4,82,1.5,,3.68,21.5,27,12,,,
Jason Maxiell,2005,BIG,77,78.25,107,257.6,87.25,10.25,,,,,,,,
Jason Richardson,2001,WING,76.75,,102.5,213,83.5,6.75,,3.12,32.5,39.5,15,5.30%,,
Jason Smith,2007,BIG,82.75,83.5,106,233,82.75,0,,3.29,33.5,37.5,15,7.50%,,
JaVale McGee,2008,BIG,83,84,114.5,241,90,7,,3.25,27,32.5,7,5.30%,,
Javaris Crittenton,2007,PG,75,76.75,98,194,77.5,2.5,,3.32,32.5,38,11,4.50%,,
Jawad Williams,2005,WING,79,80,106.5,218,85.25,6.25,,3.23,28,34,15,,,
Jawun Evans,2017,PG,70.75,71.5,95,185.2,77.5,6.75,3.26,3.21,27.5,33.5,,9.10%,8,7.75
Jaxson Hayes,2019,BIG,82.25,83.5,110.5,218.6,87.5,5.25,3.23,3.37,27,34.5,5,5.00%,9.25,10.5
Jay Williams,2002,PG,72.25,,97,197,75.5,3.25,,3.09,28.5,36,10,,,
Jaylen Barford,2018,COMBO G,73.25,74.25,96.6,207.6,75.5,2.25,3.2,3.31,27,33,,11.70%,8,8.25
Jaylen Brown,2016,WING,77.25,78.75,102.5,222.8,83.75,6.5,,,,,,5.10%,8.75,9
Jaylen Hands,2019,PG,73.5,75,97,180.4,77.5,4,3.03,3.12,33,41.5,6,5.10%,8,8.25
Jaylen Hands 18,2018,PG,73.5,74.75,98,179,77.5,4,3.15,3.13,31.5,39.5,,5.00%,8,8
Jaylen Nowell,2019,COMBO G,75.25,76.25,98,202.4,79.25,4,3.13,3.23,32,38.5,2,6.10%,8.25,8.5
Jeff Adrien,2009,BIG,77.25,78.5,107.5,236.2,86,8.75,,3.32,27.5,31.5,16,7.90%,,
Jeff Ayres,2009,BIG,80.75,82,107,239.6,85,4.25,,3.14,31,35,15,5.50%,,
Jeff Green,2007,WING,79,81.5,103,228,85.25,6.25,,3.34,33.5,38,17,3.70%,,
Jeff Newton,2003,BIG,80,,106,199,85,5,,3.23,27.5,34,9,5.30%,,
Jeff Taylor,2012,WING,78,79.25,101.5,212.8,78.25,0.25,,3.29,33.5,40,15,4.20%,8.25,9.75
Jeff Teague,2009,PG,72.25,73.5,98.5,175.2,79.5,7.25,,3.18,30.5,36.5,13,4.50%,,
Jeff Withey,2013,BIG,82.75,84.5,110.5,221.8,86,3.25,3.29,3.47,26.5,29,10,8.70%,9,9.75
Jerami Grant,2014,WING,78.5,79.75,107,214,86.75,8.25,,,,,,3.80%,9.25,9.25
Jerel McNeal,2009,WING,73.5,75,99.5,190.4,79.25,5.75,,3.25,31.5,36.5,10,5.40%,,
Jereme Richmond,2011,WING,78,79.25,106.5,207.2,82.25,4.25,,3.02,27,33.5,0,5.50%,8.75,9.5
Jeremy Hunt,2007,WING,74,76.75,101.5,198,80.25,6.25,,3.29,30.5,33,10,5.20%,,
Jeremy Lamb,2012,WING,76,77.25,102,179.2,83,7,,3.25,31.5,38,5,4.50%,8.75,9.25
Jeremy Pargo,2008,PG,72.5,73.5,96,208,77,4.5,,3.07,32,37,7,7.60%,,
Jeremy Tyler,2011,BIG,81,82.5,110.5,262.4,89,8,,3.29,28,33.5,10,13.40%,9.25,9
Jerian Grant,2015,PG,75.25,76.25,100,198,79.5,4.25,,,,,,5.60%,8.25,8.5
Jermaine Boyette,2003,COMBO G,73,,96,187,76,3,,3.07,29,35.5,14,7.30%,,
Jermaine Taylor,2009,WING,75.5,76.75,101,207.4,80.75,5.25,,3.32,34,37.5,16,5.80%,,
Jermareo Davidson,2007,BIG,81,83,109.5,230,88,7,,3.53,27,30,7,6.90%,,
Jerome Beasley,2003,COMBO F,81,,107,237,84.5,3.5,,3.25,27,32,10,9.90%,,
Jerome Jordan,2010,BIG,83.5,84.75,113,244.2,89.25,5.75,,,,,,6.90%,9,10.25
Jerome Robinson,2018,WING,76,77,98,188.4,79.25,3.25,,,,,,6.10%,9,10
Jerry Green,2001,COMBO G,73.5,,99,179,78.25,4.75,,3.17,28.5,35,13,5.50%,,
Jerry Holman,2003,BIG,80.75,,109.5,232,87.25,6.5,,3.24,33,37.5,11,6.00%,,
Jerryd Bayless,2008,COMBO G,73.75,75,97,204,75.5,1.75,,3.07,31,38,10,4.70%,,
Jeryl Sasser,2001,COMBO G,77.5,,103.5,194,82.5,5,,3.22,29,34,1,6.70%,,
Jevon Carter,2018,PG,72.25,73.5,95,196.2,76.75,4.5,3.04,3.18,29,36.5,,4.20%,9.25,8.5
Jianlian Yi,2007,BIG,,,,,,,,,,,,,,
Jimmie Hunter,2000,COMBO G,75,,100,170,80,5,,3.35,29,36,0,,,
Jimmy Butler,2011,WING,78,79.75,101.5,222.2,79.5,1.5,,3.15,32,39,14,5.40%,9,9
Jiri Hubalek,2008,BIG,81.5,83,109,226,82.75,1.25,,3.54,20.5,26,2,8.80%,,
JJ Redick,2006,WING,76,76.75,97.5,190,75.25,-0.75,,3.29,27.5,33,6,7.00%,,
Joah Tucker,2006,WING,75.75,77.25,99.5,224,78.5,2.75,,3.31,29,34,19,7.00%,,
Joakim Noah,2007,BIG,82,84,106.5,223,85.25,3.25,,3.47,32.5,37.5,12,4.80%,,
Jobey Thomas,2002,WING,74.75,,99.5,183,77.75,3,,3.3,26,32,13,,,
Jodie Meeks,2009,WING,75,76,98,211.4,76.5,1.5,,3.1,28.5,37,14,8.00%,,
Joe Alexander,2008,COMBO F,79.25,80.25,106,220,83.5,4.25,,2.99,32.5,38.5,24,5.80%,,
Joe Crawford,2008,WING,75,76,99.5,213,77.75,2.75,,3.22,31,36,13,7.60%,,
Joe Harris,2014,WING,76.75,78.25,100,215,78,1.25,2.92,3.31,28.5,33.5,,6.20%,8.5,9.75
Joe Ingles,2009,WING,79.75,80.25,105,209.2,82.25,2.5,,3.3,26,31,3,10.10%,,
Joe Johnson,2001,WING,78.75,,105,226,81,2.25,,3.4,32.5,36.5,12,6.70%,,
Joe Shipp,2003,WING,76,,103,224,82,6,,3.2,29,34.5,17,11.70%,,
Joel Bolomboy,2016,BIG,79.5,81,103.5,224.4,85.75,6.25,2.86,3.17,37.5,40.5,,5.20%,9,10.25
Joel Cornette,2003,COMBO F,80.25,,105.5,239,81.25,1,,3.14,26,32.5,13,12.90%,,
Joey Dorsey,2008,BIG,78.25,79.25,107,265,85.75,7.5,,3.2,27.5,33,19,9.00%,,
Joey Graham,2005,WING,77.25,78.5,104,216.6,80,2.75,,3.05,30,36,26,,,
John Collins,2017,BIG,80.25,81.5,106.5,225.2,83.25,3,3.27,3.27,33,37.5,,5.40%,9,10
John Edwards,2004,BIG,83.25,85,113,264,88.5,5.25,,,,,15,14.10%,,
John Gilchrist,2005,PG,73.25,74.5,96.5,195.2,81.25,8,,3.15,30.5,36.5,12,,,
John Henson,2012,BIG,81,82.5,112,216,89,8,,,25.5,30,5,8.60%,9.25,10
John Jenkins,2012,WING,75.25,76.25,98,212,80.5,5.25,,3.37,30.5,36.5,10,7.10%,9,9
John Lucas III,2005,PG,69.25,70.5,92,154.4,72,2.75,,3.14,29,34,4,,,
John Riek,2008,BIG,82.5,84,,237,92.75,10.25,,,,,,11.00%,,
John Salmons,2002,WING,77.5,,104,207,82.25,4.75,,3.25,30.5,34.5,12,,,
John Wall,2010,PG,74.75,76,101.5,195.6,81.25,6.5,,3.14,30,39,,5.60%,8.25,9.5
Johnathan Motley,2017,BIG,79.75,80.75,108,238.2,88,8.25,,,,,,,9,9.5
Johnny Hemsley,2000,WING,74.75,,100.5,200,80,5.25,,3.19,31.5,35,5,,,
Johnny O'Bryant III,2014,BIG,79.25,80.5,105,256.8,86.25,7,3.32,3.45,31,35.5,,10.80%,9.25,9.5
Jon Diebler,2011,WING,77.25,78.5,99,196.6,78,0.75,,3.37,28,35,2,8.50%,8.25,8.25
Jon Leuer,2011,BIG,82,83.5,105.5,223.2,84,2,,3.36,29.5,36.5,14,5.40%,8.75,9.75
Jon Scheyer,2010,COMBO G,76.75,78,99,180,75.25,-1.5,,,,,,5.40%,7.75,9.5
Jonathan Holmes,2015,COMBO F,80.25,81.25,107.5,242.2,83.5,3.25,3.12,3.51,25.5,31,,7.20%,8.25,9.5
Jonathan Jeanne,2017,BIG,84.75,86,113.5,207.4,90.5,5.75,3.16,3.36,29,32,,8.70%,9.5,10
Jonny Flynn,2009,PG,71.25,72.75,95.5,195.6,76,4.75,,3.23,33,40,10,6.30%,,
Jontay Porter,2019,BIG,81.79,83,109.5,210.4,84,2.21,,,,,,8.50%,8.75,9.5
Jontay Porter 18,2018,BIG,82,83.5,109,236,84.25,2.25,3.06,3.4,25.5,31,,13.90%,8.75,9.5
Jordan Adams,2014,WING,75.5,76.75,102,208.8,82,6.5,3.05,3.5,24.5,29.5,,10.80%,8.5,7.5
Jordan Bachynski,2014,BIG,85.25,86,108.5,254.1,88,2.75,3.03,3.36,29,33,,7.50%,9.25,10
Jordan Bell,2017,BIG,79,80.5,104.5,223.6,83.75,4.75,2.83,3.21,31.5,38,,5.40%,9.25,9.5
Jordan Bone,2019,COMBO G,73.5,74.75,95,179,75.25,1.75,2.78,3.08,36,42.5,7,5.00%,7.5,9.25
Jordan Clarkson,2014,PG,75.25,77,98,186.3,80,4.75,2.98,3.28,33,38.5,,4.30%,8.25,9
Jordan Crawford,2010,WING,75,76.5,101,198.4,79,4,,3.37,31.5,34.5,7,4.90%,8,9
Jordan Farmar,2006,PG,72.75,74,94.5,171,75,2.25,,3.17,33.5,42,11,4.40%,,
Jordan Hamilton,2011,WING,78.75,80.5,104,228.4,81.5,2.75,,3.3,25,32,7,9.80%,9,9.25
Jordan Hill,2009,BIG,81.25,82.25,108,232.4,85.5,4.25,,3.3,31,35,11,6.00%,,
Jordan McRae,2014,WING,75.75,77.25,104,179.4,84.5,8.75,3.15,3.39,27.5,34.5,,5.20%,8.75,8.5
Jordan Mickey,2015,BIG,79,80.25,106,238,87.25,8.25,3.13,3.28,33,37.5,9,7.20%,8.75,9.5
Jordan Nwora,2019,WING,77.5,79.5,103,220,82.5,5,,,,,,7.80%,8.5,9.25
Jordan Poole,2019,WING,75.5,77.5,99.5,190.8,78.75,3.25,3.14,3.27,28,35.5,-,7.50%,8.25,8.5
Jordan Taylor,2012,PG,73,74,92.5,192.8,75,2,,3.19,33,36.5,14,5.50%,8.25,9.5
Jordan Williams,2011,BIG,79.75,81,106.5,247.2,84.25,4.5,,3.45,25,30.5,10,12.10%,9.25,10
Joseph Forte,2001,WING,75.5,,100.5,193,78.5,3,,3.19,26.5,33,10,,,
Joseph Jones,2008,BIG,79,80.5,107,240,84.25,5.25,,3.33,25.5,31,16,12.20%,,
Joseph Young,2015,COMBO G,72.75,74,94.5,182.2,77,4.25,3.11,3.25,34.5,40.5,9,4.10%,8.75,7.5
Josh Childress,2004,WING,77.75,79.25,105,196,83,5.25,,3.38,29,36,11,9.30%,,
Josh Duncan,2008,BIG,80,81,104.5,230,83.5,3.5,,3.26,28,32,26,5.40%,,
Josh Hart,2017,WING,76,77.5,99.5,203.6,80.5,4.5,3.15,3.2,29.5,38.5,,5.80%,8.5,9.25
Josh Heytvelt,2009,BIG,82,83,108,246.2,85.25,3.25,,3.38,28.5,34,15,10.80%,,
Josh Howard,2003,WING,77.25,,105.5,202,86,8.75,,3.09,33,36.5,4,6.00%,,
Josh McRoberts,2007,BIG,80,82,106.5,240,85,5,,3.47,27.5,31.5,12,13.70%,,
Josh Okogie,2018,WING,75,76.5,102,210.8,84,9,3.03,3.04,33,42,,5.20%,9,9.75
Josh Powell,2003,COMBO F,80,,107.5,227,85,5,,3.2,32.5,38.5,15,8.00%,,
Josh Selby,2011,COMBO G,73.75,75,98,194.6,77.25,3.5,,3.2,29.5,42,5,7.90%,8.5,9
Josh Smith,2004,WING,79,80.25,106.5,221,84,5,,3.24,32.5,39.5,12,6.70%,,
JR Reynolds,2007,PG,72,74.75,95,188,75.25,3.25,,3.24,27.5,34.5,15,8.20%,,
Jrue Holiday,2009,COMBO G,75.25,76.25,100.5,199,79,3.75,,3.21,28.5,34,6,6.30%,,
Juan Mendez,2005,COMBO F,77.25,78.75,106.5,231.4,84,6.75,,3.24,29,33,14,,,
Julian Sensley,2002,COMBO F,79,,105.5,228,83.5,4.5,,3.32,27.5,31.5,8,,,
Julian Wright,2007,COMBO F,78.5,80.5,108,211,86.25,7.75,,3.36,28.5,33.5,2,6.10%,,
Julius Doc Robinson,2000,PG,72,,95.5,184,75.75,3.75,,3.41,30,37.5,0,,,
Julius Hodge,2005,WING,78,79,107.5,202.2,84.5,6.5,,3.18,24.5,29,14,,,
Julius Randle,2014,BIG,79.75,81,105.5,249.7,84,4.25,3.14,3.27,29,35.5,,9.40%,8.75,8.25
Justin Anderson,2015,WING,77.25,78.25,101,230.6,83.75,6.5,2.88,3.22,38,43,12,5.00%,8.5,9.5
Justin Doellman,2007,BIG,80,81.5,105,205,80.75,0.75,,,,,19,7.00%,,
Justin Hamilton,2003,COMBO G,75,,103,217,83,8,,3.18,30,37.5,17,8.00%,,
Justin Harper,2011,COMBO F,80,80.75,106,228,83.75,3.75,,3.3,28.5,33,19,4.00%,9,9.25
Justin Jackson,2016,WING,79,80.25,103.5,193.4,82.75,3.75,2.96,3.26,29.5,34.5,,7.60%,8.75,8.75
Justin Jackson (UMD),2017,WING,77.75,79,107,219.4,87.25,9.5,3.08,3.43,26.5,31.5,,7.10%,9,9.5
Justin Jackson (UNC),2017,WING,79,80.25,104.5,200.8,83,4,3.06,3.3,29.5,35.5,,8.10%,8.75,9.25
Justin Jackson 18,2018,BIG,78,78.75,105,229.4,87,9,,,,,,8.90%,9,9.5
Justin Love,2000,COMBO G,73.5,,97.5,205.5,76.5,3,,3.31,31,38.5,24,,,
Justin Patton,2017,BIG,82,83.25,111.5,229,87,5,3.31,3.46,26,30.5,,7.80%,8.75,9.75
Justin Williams,2006,BIG,79.25,80.75,109,211,85.5,6.25,,3.31,26.5,31.5,7,6.50%,,
Justise Winslow,2015,WING,76.5,78.5,104.5,221.8,82.25,5.75,,,,,,5.30%,8.5,9.25
K.J. McDaniels,2014,WING,76.5,78,102,195.6,83.25,6.75,3.2,3.1,33,37,,4.50%,8.75,9.75
Kadeem Allen,2017,PG,73,74.25,99.5,192.4,81.25,8.25,2.98,3.15,33,35.5,,6.40%,8.5,8.75
Kareem Rush,2002,WING,76.75,,103.5,199,81.75,5,,3.22,26,30,15,,,
Karim Shabazz,2000,BIG,83.5,,111.5,224,87,3.5,,3.36,24.5,28,2,,,
Kawhi Leonard,2011,WING,78,79,106,227.4,87,9,,3.15,25.5,32,3,5.40%,9.75,11.25
Kay Felder,2016,PG,68.25,69.5,88.5,177.2,74.5,6.25,2.9,3.15,35.5,44,,5.80%,8.25,8.5
Keenan Evans,2018,PG,73.5,75,98,183.2,77.25,3.75,,,,,,6.50%,8.5,8
Kei Madison,2002,WING,79.75,,107,216,84.5,4.75,,3.22,27.5,34.5,6,,,
Keifer Sykes,2015,PG,70.5,71.75,93,167.2,74,3.5,3.15,3.13,34,43,8,5.00%,8.5,9.5
Keita Bates-Diop,2018,WING,79.25,80.5,106.5,223.8,87.25,8,3.28,3.17,30.5,35,,5.40%,9,8.5
Keith Benson,2011,BIG,82,83,109.5,217,87.75,5.75,,3.35,31.5,36,12,6.10%,9.5,11
Keith Bogans,2003,WING,76.25,,101,213,81.25,5,,3.25,29.5,35,10,8.00%,,
Keith Brumbaugh,2008,COMBO F,79.5,80.75,104.5,190,79.25,-0.25,,3.28,26,27,2,4.00%,,
Keith Gallon,2010,BIG,80.5,81.5,109.5,301.8,88.5,8,,3.7,23.5,28.5,14,15.10%,9.25,10.5
Keith Langford,2005,WING,74.25,75.5,101,203.2,81,6.75,,3.23,32,29.5,8,,,
Keldon Johnson,2019,COMBO G,76.75,78,104,216.4,81.25,4.5,,,,,,5.60%,8,9.25
Kelly Olynyk,2013,BIG,82.75,84,108,234,81.75,-1,2.99,3.59,24.5,29.5,5,6.70%,8.5,10
Kelly Oubre,2015,WING,77.75,78.75,102.5,202.8,86.25,8.5,3.12,3.32,34.5,37,7,5.70%,9,8.75
Kelvin Pena,2004,COMBO G,74.25,75.25,99.5,182,78.5,4.25,,3.24,27.5,32.5,1,8.60%,,
Kemba Walker,2011,PG,71.5,73,91.5,184,75.5,4,,3.16,32,39.5,7,5.90%,8,9
Ken Johnson,2001,BIG,82.75,,109.5,227,88,5.25,,3.12,32.5,35,13,9.90%,,
Kendall Marshall,2012,PG,75.25,76.25,96,198.4,77.5,2.25,,3.23,31,37,,7.80%,8.5,9
Kendall Williams,2014,PG,74.25,75.75,99,183,77.5,3.25,2.85,,27,33,,7.20%,8,7.75
Kennedy Meeks,2017,BIG,80.75,82.25,106,276.6,85,4.25,3.35,3.5,28,30.5,,11.50%,8.75,8.75
Kenneth Faried,2011,BIG,78,79.5,108,224.6,84,6,,3.26,30.5,35,16,6.30%,8.5,10.25
Kenny Adeleke,2006,BIG,78.5,79.75,104,250,82.25,3.75,,3.47,28.5,30.5,26,10.50%,,
Kenny Gregory,2001,WING,75.5,,101,200,83.25,7.75,,3.1,39.5,45.5,10,6.70%,,
Kenny Kadji,2013,BIG,80.75,82,106.5,241.6,87,6.25,2.88,3.44,34,38,9,7.50%,9,10.25
Kenny Satterfield,2001,PG,73,,98,176,76.5,3.5,,3.2,28.5,33,3,6.70%,,
Kenrich Williams,2018,WING,78,79.5,103.5,200.4,79.25,1.25,3.28,3.19,28,33,,6.00%,8.5,9.75
Kentavious Caldwell-Pope,2013,WING,76.5,77.5,100.5,203.6,80,3.5,3.2,3.12,29,34.5,7,6.50%,8.5,9
Kentrell Gransberry,2008,BIG,78.75,79.75,106,290,82.25,3.5,,3.32,24.5,27.5,18,17.40%,,
Kenyon Jones,2000,BIG,81,,108,282,85,4,,3.6,28.5,30,20,,,
Kevin Durant,2007,COMBO F,81,82.25,110,215,88.75,7.75,,3.45,26,33.5,0,6.60%,,
Kevin Hervey,2018,BIG,78.5,79.75,106,211.6,87.5,9,3.15,3.36,27.5,32,,5.20%,9.25,10.25
